longitude,latitude,depth,vs
-120.2,43.0,31,3.551
-120.2,43.0,32,3.656
-120.2,43.0,33,3.7738
-120.2,43.0,34,3.8963
-120.2,43.0,35,4.0185
-120.2,43.0,36,4.1341
-120.2,43.0,37,4.24
-120.2,43.0,38,4.3333
-120.2,43.0,39,4.4124
-120.2,43.0,40,4.479
-120.2,43.2,-1,2.0984
-120.2,43.2,0,2.3931
-120.2,43.2,1,2.8307
-120.2,43.2,2,3.1496
-120.2,43.2,3,3.3984
-120.2,43.2,4,3.6136
-120.2,43.2,5,3.7213
-120.2,43.2,6,3.6925
-120.2,43.2,7,3.6376
-120.2,43.2,8,3.6147
-120.2,43.2,9,3.5773
-120.2,43.2,10,3.4953
-120.2,43.2,11,3.4003
-120.2,43.2,12,3.3282
-120.2,43.2,13,3.2846
-120.2,43.2,14,3.25
-120.2,43.2,15,3.2308
-120.2,43.2,16,3.2215
-120.2,43.2,17,3.2241
-120.2,43.2,18,3.2537
-120.2,43.2,19,3.3049
-120.2,43.2,20,3.3612
-120.2,43.2,21,3.4218
-120.2,43.2,22,3.4778
-120.2,43.2,23,3.5262
-120.2,43.2,24,3.5669
-120.2,43.2,25,3.6034
-120.2,43.2,26,3.6392
-120.2,43.2,27,3.6788
-120.2,43.2,28,3.7253
-120.2,43.2,29,3.7817
-120.2,43.2,30,3.8498
-120.2,43.2,31,3.9291
-120.2,43.2,32,4.0176
-120.2,43.2,33,4.1105
-120.2,43.2,34,4.2017
-120.2,43.2,35,4.2863
-120.2,43.2,36,4.3599
-120.2,43.2,37,4.42
-120.2,43.2,38,4.4669
-120.2,43.2,39,4.5007
-120.2,43.2,40,4.5222
-120.2,43.4,-1,1.7758
-120.2,43.4,0,2.125
-120.2,43.4,1,2.6107
-120.2,43.4,2,3.0561
-120.2,43.4,3,3.4241
-120.2,43.4,4,3.6189
-120.2,43.4,5,3.6908
-120.2,43.4,6,3.6985
-120.2,43.4,7,3.6995
-120.2,43.4,8,3.6878
-120.2,43.4,9,3.6257
-120.2,43.4,10,3.5457
-120.2,43.4,11,3.4792
-120.2,43.4,12,3.4388
-120.2,43.4,13,3.4177
-120.2,43.4,14,3.4033
-120.2,43.4,15,3.3946
-120.2,43.4,16,3.388
-120.2,43.4,17,3.3878
-120.2,43.4,18,3.3981
-120.2,43.4,19,3.4087
-120.2,43.4,20,3.4064
-120.2,43.4,21,3.3996
-120.2,43.4,22,3.4044
-120.2,43.4,23,3.4259
-120.2,43.4,24,3.4627
-120.2,43.4,25,3.5112
-120.2,43.4,26,3.5692
-120.2,43.4,27,3.6344
-120.2,43.4,28,3.7084
-120.2,43.4,29,3.7905
-120.2,43.4,30,3.8819
-120.2,43.4,31,3.9806
-120.2,43.4,32,4.0815
-120.2,43.4,33,4.1798
-120.2,43.4,34,4.2691
-120.2,43.4,35,4.3444
-120.2,43.4,36,4.4033
-120.2,43.4,37,4.4463
-120.2,43.4,38,4.4766
-120.2,43.4,39,4.4951
-120.2,43.4,40,4.5045
-120.2,43.6,-1,1.7931
-120.2,43.6,0,2.0218
-120.2,43.6,1,2.4441
-120.2,43.6,2,2.8813
-120.2,43.6,3,3.1931
-120.2,43.6,4,3.334
-120.2,43.6,5,3.3984
-120.2,43.6,6,3.478
-120.2,43.6,7,3.5812
-120.2,43.6,8,3.6395
-120.2,43.6,9,3.6381
-120.2,43.6,10,3.6158
-120.2,43.6,11,3.5976
-120.2,43.6,12,3.5886
-120.2,43.6,13,3.5915
-120.2,43.6,14,3.5973
-120.2,43.6,15,3.5998
-120.2,43.6,16,3.6028
-120.2,43.6,17,3.5975
-120.2,43.6,18,3.5651
-120.2,43.6,19,3.5168
-120.2,43.6,20,3.4633
-120.2,43.6,21,3.4111
-120.2,43.6,22,3.3735
-120.2,43.6,23,3.3588
-120.2,43.6,24,3.3682
-120.2,43.6,25,3.4011
-120.2,43.6,26,3.455
-120.2,43.6,27,3.5257
-120.2,43.6,28,3.6123
-120.2,43.6,29,3.7138
-120.2,43.6,30,3.8261
-120.2,43.6,31,3.9451
-120.2,43.6,32,4.0628
-120.2,43.6,33,4.1719
-120.2,43.6,34,4.2676
-120.2,43.6,35,4.3448
