longitude,latitude,depth,vs
-120.2,43.8,61,3.9948
-120.2,43.8,62,3.9822
-120.2,43.8,63,3.9809
-120.2,43.8,64,3.9789
-120.2,43.8,65,3.9708
-120.2,43.8,66,3.9581
-120.2,43.8,67,3.9413
-120.2,43.8,68,3.9202
-120.2,43.8,69,3.8975
-120.2,43.8,70,3.8775
-120.2,43.8,71,3.862
-120.2,43.8,72,3.8513
-120.2,43.8,73,3.8444
-120.2,43.8,74,3.8395
-120.2,43.8,75,3.8373
-120.2,43.8,76,3.8378
-120.2,43.8,77,3.8415
-120.2,43.8,78,3.8499
-120.2,43.8,79,3.8603
-120.2,43.8,80,3.87
-120.2,44.0,41,4.3276
-120.2,44.0,42,4.308
-120.2,44.0,43,4.2828
-120.2,44.0,44,4.2541
-120.2,44.0,45,4.2242
-120.2,44.0,46,4.1909
-120.2,44.0,47,4.1586
-120.2,44.0,48,4.1328
-120.2,44.0,49,4.1124
-120.2,44.0,50,4.0988
-120.2,44.0,51,4.0923
-120.2,44.0,52,4.0902
-120.2,44.0,53,4.0914
-120.2,44.0,54,4.094
-120.2,44.0,55,4.0995
-120.2,44.0,56,4.1077
-120.2,44.0,57,4.1178
-120.2,44.0,58,4.1278
-120.2,44.0,59,4.1352
-120.2,44.0,60,4.1376
-120.2,44.0,61,4.1344
-120.2,44.0,62,4.1288
-120.2,44.0,63,4.1264
-120.2,44.0,64,4.1198
-120.2,44.0,65,4.1041
-120.2,44.0,66,4.0821
-120.2,44.0,67,4.0562
-120.2,44.0,68,4.0267
-120.2,44.0,69,3.9929
-120.2,44.0,70,3.9592
-120.2,44.0,71,3.9287
-120.2,44.0,72,3.9034
-120.2,44.0,73,3.8833
-120.2,44.0,74,3.867
-120.2,44.0,75,3.8542
-120.2,44.0,76,3.8452
-120.2,44.0,77,3.8409
-120.2,44.0,78,3.8415
-120.2,44.0,79,3.8467
-120.2,44.0,80,3.8549
-120.2,44.2,41,4.49
-120.2,44.2,42,4.4921
-120.2,44.2,43,4.4796
-120.2,44.2,44,4.4562
-120.2,44.2,45,4.4244
-120.2,44.2,46,4.3863
-120.2,44.2,47,4.3441
-120.2,44.2,48,4.3052
